RU;8;1526;TransparentCalls;0.95;364;49;42
US;22;1875;E-Voice;0.96;168;22;55
GB;73;52;TransparentCalls;0.89;855;80;57
FR;42;349;TransparentCalls;0.98;659;4;25
BL;79;561;E-Voice;0.92;93;24;46
AT;44;1559;TransparentCalls;0.77;743;18;21
BG;50;1435;E-Voice;0.86;744;9;12
DK;38;49;JustPhone;0.61;895;21;52
CA;90;965;JustPhone;0.63;855;84;60
ES;52;867;E-Voice;0.66;722;47;46
CH;65;691;JustPhone;0.60;720;56;9
TR;33;934;TransparentCalls;0.83;50;72;36
PE;15;916;JustPhone;0.97;907;53;19
NZ;56;1641;JustPhone;0.70;363;89;58
MC;88;918;E-Voice;0.97;626;26;33
