RU;36;31;TransparentCalls;0.67;302;65;42
US;7;175;E-Voice;0.68;159;66;35
GB;31;838;TransparentCalls;0.84;973;66;11
FR;58;1012;TransparentCalls;0.62;688;70;22
BL;85;585;E-Voice;0.62;962;33;47
AT;19;1429;TransparentCalls;0.63;894;66;22
BG;98;685;E-Voice;0.72;938;86;8
DK;73;1351;JustPhone;0.70;239;41;9
CA;15;1149;JustPhone;0.74;727;42;56
ES;45;1061;E-Voice;0.82;195;63;8
CH;33;1085;JustPhone;0.69;569;83;4
TR;94;304;TransparentCalls;0.87;368;15;24
PE;58;298;JustPhone;0.66;687;2;10
NZ;96;1308;JustPhone;0.88;299;48;54
MC;17;940;E-Voice;0.99;290;28;10
